country,city,Latitude,Longitude,tavg
Abkhazia,Sukhumi,43.001525,41.023415,15.15750653
Aland Islands,Mariehamn,60.1,19.933333,7.327084531
Albania,Tirana,41.327546,19.818698,16.81163324
Algeria,Algiers,36.752887,3.042048,19.60292264
American Samoa,Pago Pago,-14.275632,-170.702036,27.24297994
Angola,Luanda,-8.839988,13.289437,25.6456946
Anguilla,The Valley,18.214813,-63.057441,27.02876471
Antigua and Barbuda,St. John's,17.12741,-61.846772,26.73705882
Argentina,Buenos Aires,-34.603684,-58.381559,17.56819484
Aruba,Oranjestad,12.509204,-70.008631,27.89794239
Austria,Vienna,48.208174,16.373819,13.87237822
Azerbaijan,Baku,40.409262,49.867092,15.66991963
Bahamas,Nassau,25.047984,-77.355413,25.71197708
Bahrain,Manama,26.228516,50.58605,28.05587393
Bangladesh,Dhaka,23.810332,90.412518,26.5008596
Barbados,Bridgetown,13.113222,-59.598809,27.26200345
Belarus,Minsk,53.90454,27.561524,9.196618911
Belgium,Brussels,50.85034,4.35171,12.05020057
Benin,Porto-Novo,6.496857,2.628852,27.49849476
Bermuda,Hamilton,32.294816,-64.781375,22.32246418
Bouvet Island,Bouvet Island,-54.43,3.38,-0.606073446
British Virgin Islands,Road Town,18.428612,-64.618466,26.88193005
Brunei,Bandar Seri Begawan,4.903052,114.939821,27.59896848
Burkina Faso,Ouagadougou,12.371428,-1.51966,30.63954155
Cambodia,Phnom Penh,11.544873,104.892167,28.48212034
Canada,Ottawa,45.42153,-75.697193,7.306762178
Cape Verde,Praia,14.93305,-23.513327,24.77301282
Cayman Islands,George Town,19.286932,-81.367439,28.0309633
Central African Republic,Bangui,4.394674,18.55819,28.32727794
Chad,N'Djamena,12.134846,15.055742,30.35111876
China,Beijing,39.904211,116.407395,13.52808023
Christmas Island,Flying Fish Cove,-10.420686,105.679379,26.24452094
Cocos (Keeling) Islands,West Island,-12.188834,96.829316,26.7391404
Comoros,Moroni,-11.717216,43.247315,26.59598706
Congo (DRC),Kinshasa,-4.441931,15.266293,25.58338109
Congo (Republic),Brazzaville,-4.26336,15.242885,26.10108883
Cook Islands,Avarua,-21.212901,-159.782306,24.38618119
Croatia,Zagreb ,45.815011,15.981919,14.86760321
Cuba,Havana,23.05407,-82.345189,24.6587795
Curaçao,Willemstad,12.122422,-68.882423,27.57450524
Cyprus,Nicosia,35.185566,33.382276,21.02189441
Czech Republic,Prague,50.075538,14.4378,12.3296615
Côte d'Ivoire,Yamoussoukro,6.827623,-5.289343,27.35623205
Denmark,Copenhagen,55.676097,12.568337,10.3213341
Djibouti,Djibouti,11.572077,43.145647,30.56275907
Dominica,Roseau,15.309168,-61.379355,26.05820433
Dominican Republic,Santo Domingo,18.486058,-69.931212,26.02464183
Egypt,Cairo,30.04442,31.235712,23.45074627
El Salvador,San Salvador,13.69294,-89.218191,27.13747126
Equatorial Guinea,Malabo,3.750412,8.737104,26.71891117
Estonia,Tallinn,59.436961,24.753575,7.41965616
Falkland Islands (Islas Malvinas),Stanley,-51.697713,-57.851663,6.508527132
Faroe Islands,Tórshavn,62.007864,-6.790982,7.225974771
Fiji,Suva,-18.124809,178.450079,24.95948276
Finland,Helsinki,60.173324,24.941025,7.352893983
France,Paris,48.856614,2.352222,13.65598854
French Guiana,Cayenne,4.92242,-52.313453,25.10183381
French Polynesia,Papeete,-17.551625,-149.558476,26.29713467
French Southern Territories,Saint-Pierre ,-21.3419,55.4778,23.92951669
Gabon,Libreville,0.416198,9.467268,26.61977077
Gambia,Banjul,13.454876,-16.579032,25.92993119
Germany,Berlin,52.520007,13.404954,11.06217765
Ghana,Accra,5.603717,-0.186964,27.63415473
Gibraltar,Gibraltar,36.140773,-5.353599,18.3913467
Greece,Athens,37.983917,23.72936,19.14653295
Greenland,Nuuk,64.18141,-51.694138,-0.136488812
Grenada,St. George's,12.056098,-61.7488,27.18072361
Guadeloupe,Basse-Terre,16.014453,-61.706411,25.45815155
Guam,Hagåtña,13.470891,144.751278,27.81805158
Guernsey,St. Peter Port,49.455443,-2.536871,12.28654399
Guinea,Conakry,9.641185,-13.578401,27.21034084
Guinea-Bissau,Bissau,11.881655,-15.617794,27.47707736
Guyana,Georgetown,6.801279,-58.155125,27.37803434
Hong Kong,Hong Kong,22.396428,114.109497,24.51989679
Hungary,Budapest,47.497912,19.040235,12.94784854
Iceland,Reykjavík,64.126521,-21.817439,5.449111748
India,New Delhi,28.613939,77.209021,26.37501433
Indonesia,Jakarta,-6.208763,106.845599,28.29260745
Iraq,Baghdad,33.312806,44.361488,24.6304922
Ireland,Dublin,53.349805,-6.26031,10.12224771
Isle of Man,Douglas,54.152337,-4.486123,10.49747126
